"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"MF_195","ILMX","MF195_2017","TB_setaria_16_0647","35.91453","-83.57986","Diversity","TB_setaria_16_0647","ILMX_ILMX_ILMX_ILMX",1
"MF_196","ILNF","MF196_2017","TB_setaria_16_0648","35.94196","-83.58418","Diversity","TB_setaria_16_0648","ILNF_ILNF_ILNF_ILNF",0.8
"MF_197","ILNN","MF197_2017","TB_setaria_16_0649","35.77479","-83.54218","Diversity","TB_setaria_16_0649","ILNN_ILNN_ILNN_ILNN",0.9
"MF_206","ILQF","MF206_2017","TB_setaria_16_0658","36.17611","-86.02213","Diversity","TB_setaria_16_0658","ILQF_ILQF_ILQF_ILQF",0.95
"MF_208","ILQN","MF208_2017","TB_setaria_16_0660","36.15294","-86.78809","Diversity","TB_setaria_16_0660","ILQN_ILQN_ILQN_ILQN",0.95
"PH_001","ILMP","PH_2016_001_2017","TB_setaria_16_0663","39.667021","-91.673365","Diversity","TB_setaria_16_0663","ILMP_ILMP_ILMP_ILMP",0.85
"PH_002","ILMY","PH_2016_002_2017","TB_setaria_16_0664","39.674129","-91.945821","Diversity","TB_setaria_16_0664","ILMY_ILMY_ILMY_ILMY",0.95
"PH_003","ILNG","PH_2016_003_2017","TB_setaria_16_0665","39.713657","-92.124012","Diversity","TB_setaria_16_0665","ILNG_ILNG_ILNG_ILNG",0.85
"PH_005","ILNY","PH_2016_005_2017","TB_setaria_16_0667","39.761834","-92.940955","Diversity","TB_setaria_16_0667","ILNY_ILNY_ILNY_ILNY",0.75
"PH_007","ILPP","PH_2016_007_2017","TB_setaria_16_0669","39.73497","-93.852486","Diversity","TB_setaria_16_0669","ILPP_ILPP_ILPP_ILPP",1
"PH_008","ILPY","PH_2016_008_2017","TB_setaria_16_0670","39.753293","-94.257685","Diversity","TB_setaria_16_0670","ILPY_ILPY_ILPY_ILPY",0.5
"PH_009","ILQG","PH_2016_009_2017","TB_setaria_16_0671","39.758214","-94.577249","Diversity","TB_setaria_16_0671","ILQG_ILQG_ILQG_ILQG",0.85
"PH_010","ILQP","PH_2016_010_2017","TB_setaria_16_0672","39.789828","-95.082571","Diversity","TB_setaria_16_0672","ILQP_ILQP_ILQP_ILQP",0.85
"PH_011","ILQY","PH_2016_011_2017","TB_setaria_16_0673","39.842954","-95.436777","Diversity","TB_setaria_16_0673","ILQY_ILQY_ILQY_ILQY",0.85
"PH_012","ILRG","PH_2016_012_2017","TB_setaria_16_0674","39.843731","-95.684448","Diversity","TB_setaria_16_0674","ILRG_ILRG_ILRG_ILRG",0.8
"PH_013","ILMQ","PH_2016_013_2017","TB_setaria_16_0675","39.841043","-95.990761","Diversity","TB_setaria_16_0675","ILMQ_ILMQ_ILMQ_ILMQ",0.9
"PH_014","ILMZ","PH_2016_014_2017","TB_setaria_16_0676","39.842163","-96.283816","Diversity","TB_setaria_16_0676","ILMZ_ILMZ_ILMZ_ILMZ",0.85
"PH_015","ILNH","PH_2016_015_2017","TB_setaria_16_0677","39.841633","-96.585083","Diversity","TB_setaria_16_0677","ILNH_ILNH_ILNH_ILNH",0.55
"PH_016","ILNQ","PH_2016_016_2017","TB_setaria_16_0678","39.841603","-96.632516","Diversity","TB_setaria_16_0678","ILNQ_ILNQ_ILNQ_ILNQ",1
"PH_017","ILNZ","PH_2016_017_2017","TB_setaria_16_0679","39.823201","-96.918713","Diversity","TB_setaria_16_0679","ILNZ_ILNZ_ILNZ_ILNZ",0.95
"PH_018","ILPH","PH_2016_018_2017","TB_setaria_16_0680","39.819722","-97.241021","Diversity","TB_setaria_16_0680","ILPH_ILPH_ILPH_ILPH",0.95
"PH_019","ILPQ","PH_2016_019_2017","TB_setaria_16_0681","39.813291","-97.518757","Diversity","TB_setaria_16_0681","ILPQ_ILPQ_ILPQ_ILPQ",0.95
"PH_020","ILPZ","PH_2016_020_2017","TB_setaria_16_0682","39.795043","-97.812391","Diversity","TB_setaria_16_0682","ILPZ_ILPZ_ILPZ_ILPZ",0.9
"PH_021","ILQH","PH_2016_021_2017","TB_setaria_16_0683","39.785189","-98.13892","Diversity","TB_setaria_16_0683","ILQH_ILQH_ILQH_ILQH",0.95
"PH_022","ILQQ","PH_2016_022_2017","TB_setaria_16_0684","39.785564","-98.448169","Diversity","TB_setaria_16_0684","ILQQ_ILQQ_ILQQ_ILQQ",0.8
"PH_023","ILQZ","PH_2016_023_2017","TB_setaria_16_0685","39.784543","-98.715851","Diversity","TB_setaria_16_0685","ILQZ_ILQZ_ILQZ_ILQZ",0.9
"PH_024","ILRH","PH_2016_024_2017","TB_setaria_16_0686","39.770926","-99.025652","Diversity","TB_setaria_16_0686","ILRH_ILRH_ILRH_ILRH",0.95
"PH_025","ILMR","PH_2016_025_2017","TB_setaria_16_0687","39.755067","-99.308215","Diversity","TB_setaria_16_0687","ILMR_ILMR_ILMR_ILMR",1
"PH_026","ILNA","PH_2016_026_2017","TB_setaria_16_0688","39.828473","-99.652691","Diversity","TB_setaria_16_0688","ILNA_ILNA_ILNA_ILNA",0.95
"PH_027","ILNI","PH_2016_027_2017","TB_setaria_16_0689","39.835129","-99.903063","Diversity","TB_setaria_16_0689","ILNI_ILNI_ILNI_ILNI",0.7
