"genotype","tv.hue_circular_mean","totalSV.nir_median","WUE.resid","avg.sv.height","avg.sv.area","area.over.water","water.amount.plus.cum","trt.day"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"TB_setaria_16_0789",0.200040431645718,0.144967585010653,-0.0300324410476287,0.103462884054945,0.00933753920849179,-0.0039420658534625,-0.0983310284257592,"dry.8"
"TB_setaria_16_0741",0.347103600763672,0.16045228720708,0.644826890040222,0.557956955156974,0.705854917606393,0.608491620234561,-0.0984750451952798,"dry.8"
"TB_setaria_12_0381",-0.0418326117100016,0.112007633954055,-0.117545418624332,-0.0824574711929473,-0.130639124672739,0.150065842219499,-0.0972515335434501,"dry.8"
"TB_setaria_12_0128",0.156765801056148,0.197037864471264,0.0510244719349141,0.0515005221839206,0.116989944709191,-0.0110206803916942,-0.0985103404500208,"dry.8"
"TB_setaria_16_0745",0.0580675547149715,0.101693513225449,0.19302584212058,0.459615299287925,0.258038020850971,0.501797320823782,-0.0980854630414353,"dry.8"
"TB_setaria_12_0604",0.0680246212857214,0.12129972894453,-0.247537772087096,-0.0162893585698788,-0.160989919570906,0.0246290998979202,-0.0996031917898677,"dry.8"
"TB_setaria_12_0411",-0.0838070229344056,0.178116629881511,-0.629160583220246,-0.41709081739262,-0.595623274478858,-0.161764100650499,-0.0993096067163921,"dry.8"
"TB_setaria_12_0310",0.12049360302187,0.108470991853149,-0.502075105193891,-0.438262207825689,-0.458120189464973,-0.294295866287787,-0.0988433443280416,"dry.8"
"TB_setaria_16_0776",0.225320036934548,0.162345131189546,-0.463280462903021,-0.253909827033352,-0.432414225943478,-0.251953556664254,-0.0984761425000767,"dry.8"
"TB_setaria_16_0792",0.159398503305369,0.102493546167614,-0.210561675513489,-0.0323636284732995,-0.106922633684351,0.0336823300718302,-0.0989685225846734,"dry.8"
"TB_setaria_12_0255",0.0478413817263934,0.163836018091561,0.0595550864809189,0.038966988702001,0.120580584811984,-0.058911342221537,-0.097905356780787,"dry.8"
"TB_setaria_16_0692",0.0279022276281798,0.147598873764941,-0.271209414277956,-0.19694778036256,-0.242692538132458,-0.157846086490596,-0.0976405305571603,"dry.8"
"TB_setaria_16_0759",-0.0629539814954679,0.144604910435494,-0.305595252483908,-0.281709117476616,-0.249909553400272,-0.0941074723905038,-0.0981389769163479,"dry.8"
"TB_setaria_12_0226",0.158362111401658,0.129350084284413,0.555833935593993,0.550007800267417,0.610588212483255,0.507589271303207,-0.0988046954066575,"dry.8"
"TB_setaria_16_0775",-0.0152742431726217,NA,0.058375874280135,-0.100277144143495,0.10575909937473,0.173871463506631,-0.097659299901656,"dry.8"
"TB_setaria_16_0758",-0.0632112111396104,0.0976126615655604,0.0687081813418577,0.32722553352286,0.135372132713976,0.123821974114909,-0.0979209187865577,"dry.8"
"TB_setaria_16_0682",-0.23271918452968,0.122537001596337,0.170865425885453,0.347483863263085,0.190759151033132,0.188084566607264,-0.0980363178367543,"dry.8"
"TB_setaria_16_0699",-0.0416760005134462,0.201775944787653,-0.298924239974693,-0.07091818074242,-0.280303510463171,-0.0278321453706338,-0.0988172361194991,"dry.8"
"TB_setaria_16_0812",0.173315396438043,0.175043800233389,-0.08737005539178,0.0905840068053484,-0.0502339113765583,0.104301607816649,-0.0979366011096233,"dry.8"
"TB_setaria_16_0738",0.150302842805634,0.196564216061935,0.0837929542529236,0.138208201925018,0.113675219942784,0.463489054371746,-0.0997840002618558,"dry.8"
"TB_setaria_12_0139",0.14900816374299,0.137810331302059,-0.0364562383112229,0.262415248251402,-0.0141605695021752,0.0211745284565967,-0.0979100998904322,"dry.8"
"TB_setaria_12_0046",0.0785134003825187,0.0811176103584774,-0.0977829764048681,-0.0511529337653248,-0.0830534432267552,-0.130131926024101,-0.09828277178041,"dry.8"
"TB_setaria_12_0429",0.0811727587601775,NA,0.154130227817999,0.391674602779871,0.182349036399916,0.182262193397736,-0.0975012515199997,"dry.8"
"TB_setaria_12_0275",-0.080073899985168,0.193162890904907,-0.412627765334556,-0.178176152446291,-0.398507574023855,-0.11196676531586,-0.0985697560608412,"dry.8"
"TB_setaria_16_0746",0.248367975076478,0.0717241189347339,0.418461002439949,0.569240249506661,0.488988252171874,0.359140710094925,-0.0980009236340664,"dry.8"
"TB_setaria_16_0683",-0.0271307851260159,NA,-0.167495645175103,-0.307342640496643,-0.18630304553642,0.110108475862502,-0.0988752645404999,"dry.8"
"TB_setaria_12_0433",-0.0402821523458353,0.157165269490422,0.062466316544346,0.263355158017577,0.145400971641066,0.0820820086690826,-0.097659299901656,"dry.8"
"TB_setaria_12_0135",-0.161117643793933,0.129567426178094,0.0452433737783546,0.398691578019412,0.127141070605353,0.139984498064581,-0.0979399071260046,"dry.8"
"TB_setaria_16_0727",0.113173716448376,0.0965535498443291,0.294286289104614,0.499312914884153,0.355628819259484,0.0905387368159744,-0.0975102633335809,"dry.8"
"A10.1",-0.0041348636505805,0.165373862205185,0.33903808486637,0.281050860364995,0.441749413848955,0.507627335972551,-0.0979160190234467,"dry.8"
"TB_setaria_16_0782",0.107119632011042,0.170490277275372,0.127588042922764,0.0183281008465786,0.169202608529626,-0.0382619058146684,-0.0982855595673466,"dry.8"
"TB_setaria_16_0754",0.121128158504362,0.171315503558726,-0.487551668174746,-0.0733266438909368,-0.351628874933412,-0.199625756784597,-0.0989844771863981,"dry.8"
"TB_setaria_12_0285",-0.157564766984229,NA,-0.418854532164142,-0.141511800889845,-0.349668551312172,-0.117954660132715,-0.0982205143503532,"dry.8"
"TB_setaria_12_0023",0.00379703956581797,0.1616894269856,-0.44377394455084,-0.245801647568633,-0.391980050014984,-0.184471256521334,-0.0979832268123056,"dry.8"
"TB_setaria_12_0339",-0.0366821835499032,0.0927844538076864,0.102297660759383,0.502601183588779,0.161006768014797,0.19970775713341,-0.0987180716062869,"dry.8"
"TB_setaria_12_0274",0.0590169264714279,NA,-0.30252856370979,0.0882859475636763,-0.244550706588741,-0.0697885079713316,-0.0983140500918027,"dry.8"
"TB_setaria_12_0558",-0.0485897916083532,0.191539422778237,0.0422167770502405,-0.230606513797767,0.139477351293082,0.137125209728005,-0.0981426246057925,"dry.8"
"TB_setaria_16_0755",0.235480162629329,0.180605432118361,-0.0481164623547836,-0.0157156386694122,0.0099237640945116,-0.0122877386849655,-0.0976736495059698,"dry.8"
"TB_setaria_16_0687",0.0987568501235412,0.140500903997783,-0.0227594502922301,-0.0155396592834707,0.0227821371875682,-0.179334794844707,-0.0983845128381365,"dry.8"
"TB_setaria_16_0702",0.0205559974643707,0.18870495055553,-0.208953721241577,-0.168657722570964,-0.146949048500243,0.194883800907149,-0.0990138795000887,"dry.8"
"TB_setaria_12_0531",0.104846310941061,0.13010365799709,-0.522274893221858,-0.250157768805166,-0.483747305725285,-0.106219875177067,-0.096923940402066,"dry.8"
"TB_setaria_12_0610",0.34896727342371,0.160115298740005,-0.309035875348938,-0.0886725767591442,-0.255199434451836,-0.0600047583135463,-0.0988693417875271,"dry.8"
"TB_setaria_12_0477",0.0876044004281527,NA,-0.0315844872864125,-0.0247598139913709,0.0073023754087598,0.104996416843499,-0.0977339626442375,"dry.8"
"TB_setaria_12_0003",0.270227204477463,0.141021312841159,0.171134462589027,0.23628987574723,0.23226598233108,0.0443524916058153,-0.0972069436508989,"dry.8"
"TB_setaria_12_0103",0.0396685836123402,0.207862839525836,-0.259222856646635,0.0168669767027618,-0.215393307620291,-0.0859842482609874,-0.0972782273011694,"dry.8"
"TB_setaria_12_0409",-0.267944921114106,NA,0.0557428740634891,0.327252597930837,0.132058773721799,0.198360368986859,-0.0975144958484583,"dry.8"
"TB_setaria_12_0368",-0.188484997248674,0.107352217874385,0.0139675797389738,0.242717653079554,0.0811290658882491,0.0774606692372598,-0.0978274866994805,"dry.8"
"TB_setaria_12_0453",0.00973425910725231,0.157165269490422,-0.0222897501668222,-0.12648512523887,0.040390152219898,0.252789437722497,-0.0985946573161513,"dry.8"
"TB_setaria_12_0420",-0.0365559842752885,NA,0.244858739759981,0.136610108418953,0.289347032899341,0.219208404997015,-0.0974849523068075,"dry.8"
"TB_setaria_12_0159",0.10418382237639,0.118604599833061,0.0979323321983937,0.384263896497151,0.177211917408656,0.121618426983241,-0.0977528356431055,"dry.8"
"TB_setaria_12_0130",0.180441234672065,0.0968379887551272,0.725900288246208,0.88586345712708,0.815931318687777,0.548809192793864,-0.0982064722773527,"dry.8"
"TB_setaria_12_0161",0.00223394118226177,0.145132675029365,0.467243610322512,0.498894368090164,0.567542519665162,0.339262821365769,-0.0983462370606778,"dry.8"
"TB_setaria_12_0347",0.0910309769934568,NA,-0.361431666398932,-0.089279570111571,-0.292356500395962,0.0192060809424125,-0.0991064674690709,"dry.8"
"TB_setaria_16_0772",-0.0996267333524646,0.0779898858849146,0.111060915175659,0.350339945056407,0.13403018916117,0.0299058121375602,-0.0978729135092023,"dry.8"
"TB_setaria_16_0765",-0.249919792289551,0.174031456843319,-0.0255065093707103,-0.0591895531073535,-0.0102948558104296,0.099888332021385,-0.099310070157944,"dry.8"
"TB_setaria_12_0577",0.0998020581646479,0.168564477143623,-0.47727979316003,-0.121015131605349,-0.453617581212294,-0.0549467470742213,-0.0978050748120379,"dry.8"
