"Genotype","stoden_raw_dry","stoden_raw_wet","stoden_pred_dry","stoden_pred_wet"
"A10",124.10546875,108.19140625,126.8710602,118.598333
"B100",131.209399414062,119.249323770492,129.028588125,121.702185886885
"TB_0003",140.0346875,120.109375,136.309571,128.0368438
"TB_0006",135.19875,134.78125,139.6433584,131.3706312
"TB_0010",162.66015625,144.69921875,152.3127037,144.0399765
"TB_0015",128.43359375,113.3359375,130.0817173,121.80899
"TB_0017",113.46875,132.75,123.3254194,115.0526921
"TB_0023",154.77734375,129.8671875,144.6137468,136.3410195
"TB_0025",138.43359375,176.796875,154.980528,146.7078008
"TB_0029",102.19921875,97.2890625,107.4866193,99.2138921
"TB_0031",108.0078125,100.1015625,110.4086482,102.135921
"TB_0034",109.23828125,103.0859375,111.8372251,103.5644979
"TB_0037",89.13671875,106.60546875,106.2169203,97.9441931
"TB_0039",129.69140625,122.9609375,129.63817505,121.3654478
"TB_0044",121.2265625,105.4921875,124.9804135,116.7076863
"TB_0046",117.93359375,98.4609375,124.4903489,116.2176216
"TB_0047",122.2265625,104.515625,116.7240437,108.4513165
"TB_0048",165.4296875,156.3359375,157.1955504,148.9228231
"TB_0050",153.76171875,150.3359375,149.696905,141.4241778
"TB_0054",124.046875,110.58984375,123.53196875,115.25924155
"TB_0056",135.32375,139.828125,141.396311,133.1235837
"TB_0063",120.83984375,116.13671875,119.97713165,124.5323663
"TB_0064",119.66796875,116.3125,126.48298195,105.3822927
"TB_0068",139.26125,143.171875,143.8642139,135.5914867
"TB_0088",173.62109375,137.0546875,153.4367647,145.1640375
"TB_0095",120.96875,107.140625,117.1874375,108.9147103
"TB_0096",125.01171875,142.52390625,138.8148633,130.542136
"TB_0097",129.51953125,NA,122.481211,NA
"TB_0100",113.97265625,118.96484375,118.8238796,110.5511524
"TB_0101",120.2109375,132.38671875,125.4874824,117.2147552
"TB_0103",115.91015625,109.37109375,116.2288743,107.9561471
"TB_0104",111.71875,85.91015625,106.8564038,98.58367654
"TB_0107",91.5390625,100.9140625,107.8696711,99.59694388
"TB_0109",115.5234375,122.34375,120.4947452,112.222018
"TB_0122",122.328125,118.57421875,121.5234795,113.2507522
"TB_0124",129.0859375,124.9375,124.4935175,116.2207903
"TB_0125",126.89453125,118.32421875,122.9864799,114.7137527
"TB_0126",134.375,113.375,136.4566367,115.35594745
"TB_0127",118.078125,129.6328125,123.8311806,115.5584534
"TB_0128",134.30859375,148.046875,143.8378932,135.5651659
"TB_0129",144.2734375,141.038125,143.9275177,135.6547905
"TB_0130",115.5078125,113.96875,117.6508313,109.3781041
"TB_0131",155.36328125,127.61375,148.3964678,127.29577855
"TB_0135",132.66015625,136.2265625,139.2728023,131.000075
"TB_0137",135.2221875,131.5,138.5391572,130.26643
"TB_0146",105.1484375,102.28125,126.3903534,105.289664165
"TB_0148",107.973125,106.1171875,125.0480402,103.947351055
"TB_0154",117.56296875,97.3046875,120.9636102,112.6908829
"TB_0155",109.4721875,114.5278125,124.0589219,115.7861946
"TB_0156",129.27734375,113.6953125,130.4895038,122.2167766
"TB_0157",135.24703125,111.76609375,131.8589781,123.5862509
"TB_0159",137.109375,139.03171875,141.7315962,133.458869
"TB_0161",136.1484375,122.296875,127.4694839,119.1967567
"TB_0165",106.01953125,87.890625,105.5959726,97.32324541
"TB_0167",107.97265625,103.875,111.6756993,103.402972
"TB_0169",109.74609375,111.15234375,114.7433662,106.470639
"TB_0191",125.3046875,117.23828125,130.3438658,122.0711385
"TB_0201",119.2534375,123.3090625,130.3504857,122.0777584
"TB_0204",148.2421875,130.46875,134.338304,126.0655767
"TB_0205",101.90625,NA,127.3468758,NA
"TB_0206",129.3125,88.90625,110.6769533,102.404226
"TB_0208",109.75,NA,113.2395421,NA
"TB_0211",115.2465625,102.953125,126.4408696,105.340180435
"TB_0212",NA,136.71875,NA,117.1158699
"TB_0226",156.2265625,111,138.7101098,130.4373825
"TB_0228",119.484375,NA,133.4067128,NA
"TB_0239",130.78125,122.16796875,134.5014089,126.2286816
"TB_0254",86.40625,103.8828125,106.9772342,98.70450696
"TB_0255",140.5390625,119.63671875,135.4594876,127.1867603
"TB_0256",102.390625,99.5390625,108.4166064,100.1438791
"TB_0258",104.828125,85.27734375,104.3064139,96.03368667
"TB_0259",136.640625,124.48828125,128.3790597,120.1063325
"TB_0260",140.51171875,120.26171875,128.2585773,119.9858501
"TB_0261",96.828125,100.3203125,103.4715029,108.02673757
"TB_0265",108.4453125,100.97265625,110.8521823,102.5794551
"TB_0266",142.6640625,142.9375,144.9381224,136.6653952
"TB_0267",108.88671875,113.83203125,127.9725582,106.871869045
"TB_0269",134.9921875,NA,121.941468,NA
"TB_0274",109.34375,94.84375,109.07937,100.8066428
"TB_0275",150.484375,146.765625,138.6094904,130.3367631
"TB_0278",99.1484375,97.4140625,108.585495,100.3127678
"TB_0281",114.578125,113.921875,117.3198357,109.0471085
"TB_0282",126.359375,126.328125,125.517934,117.2452068
"TB_0285",124.546875,99.95703125,115.9654019,107.6926746
"TB_0294",167.18359375,143.78125,153.836889,145.5641617
"TB_0296",150.09765625,114.61328125,142.2053677,121.10467855
"TB_0297",101.51171875,96.9921875,107.1529758,98.88024857
"TB_0309",106.9609375,134.93359375,121.859771,113.5870437
"TB_0310",127.22609375,123.9765625,125.0146619,116.7419346
"TB_0311",112.94140625,86.80859375,107.5753262,99.30259892
"TB_0314",127.473125,130.34375,127.2564816,118.9837544
"TB_0315",110.140625,96.94140625,110.0604409,101.7877137
"TB_0316",111.99609375,112.65234375,116.0143892,107.741662
"TB_0317",118.00390625,112.671875,118.0572939,109.7845666
"TB_0319",136.8046875,134.234375,140.0023165,131.7295893
"TB_0334",144.453125,106.4296875,124.9062542,116.633527
"TB_0335",116.671875,131.6796875,124.0483137,115.7755865
"TB_0336",104.87109375,82.8671875,103.5040806,95.2313534
"TB_0337",114.34375,123.203125,131.5938641,123.3211368
"TB_0339",133.1640625,101.6171875,119.4487992,111.176072
"TB_0340",151.703125,141.15625,146.9836772,138.7109499
