Subplot_ID,Rep,Awning,Treatment,Genotype,Jul_21_IR,Jul_11_IR,Jul_16_IR
60101,1,1,wet,TB_0135,35.98625,34.2165625,NA
60102,1,1,wet,B100,35.237125,33.397625,NA
60103,1,1,wet,TB_0254,36.5531875,33.8581875,NA
60104,1,1,wet,TB_0500,36.7085,34.851375,NA
60105,1,1,wet,TB_0353,36.389125,36.2651875,NA
60106,1,1,wet,TB_0319,37.7205,39.270375,NA
60107,1,1,wet,TB_0513,35.4238125,35.1545,NA
60108,1,1,wet,TB_0128,36.2773125,34.6341875,NA
60109,1,1,wet,B100,35.22275,34.283875,NA
60110,1,1,wet,TB_0165,34.94575,33.5429375,NA
60111,1,1,wet,TB_0544,35.3513125,34.093625,NA
60112,1,1,wet,TB_0161,35.23425,33.8150625,NA
60119,1,1,wet,TB_0336,35.445875,37.37075,NA
60120,1,1,wet,B100,35.7679375,35.3265625,NA
60121,1,1,wet,TB_0095,36.633375,34.9674375,NA
60122,1,1,wet,TB_0436,35.3395,35.155875,NA
60123,1,1,wet,TB_0508,34.6173125,35.6016875,NA
60124,1,1,wet,TB_0104,34.9461875,34.932375,NA
60125,1,1,wet,TB_0582,36.474875,34.2010625,NA
60126,1,1,wet,TB_0154,36.7346875,35.8638125,NA
60127,1,1,wet,TB_0096,36.320875,34.376875,NA
60128,1,1,wet,TB_0211,35.9078125,37.2355,NA
60129,1,1,wet,TB_0039,35.3353125,34.86425,NA
60130,1,1,wet,TB_0029,35.1061875,36.5430625,NA
60132,1,1,wet,TB_0023,35.3485,33.9685,NA
60133,1,1,wet,TB_0418,35.247625,33.565375,NA
60134,1,1,wet,B100,35.11025,33.274125,NA
60135,1,1,wet,TB_0509,35.3865,33.4663125,NA
60136,1,1,wet,TB_0594,35.21325,35.15875,NA
60137,1,1,wet,TB_0125,35.8760625,33.443125,NA
60138,1,1,wet,TB_0611,34.8409375,33.261,NA
60139,1,1,wet,TB_0101,35.2151875,34.02075,NA
60140,1,1,wet,TB_0477,35.082875,35.4649375,NA
60141,1,1,wet,TB_0428,35.0285,34.0874375,NA
60142,1,1,wet,TB_0467,35.408,33.4436875,NA
60149,1,1,wet,B100,34.9150625,35.02475,NA
60150,1,1,wet,TB_0068,34.6304375,33.7701875,NA
60151,1,1,wet,TB_0127,34.9663125,34.22925,NA
