Subplot_ID,Rep,Awning,Treatment,Genotype,core,stoden_raw,date,stoden_pred
60101,1,1,wet,TB_0135,NA,127.3203125,P2,131.000075
60102,1,1,wet,B100,NA,118.3828125,P2,127.1698418
60104,1,1,wet,TB_0500,NA,171.8671875,P2,141.3814201
60105,1,1,wet,TB_0353,core,121.953125,P1,114.8779265
60106,1,1,wet,TB_0319,NA,129.0234375,P2,131.7295893
60107,1,1,wet,TB_0513,NA,107.7890625,P2,124.3444161
60108,1,1,wet,TB_0128,NA,138.40625,P2,135.5651659
60109,1,1,wet,B100,NA,110.7421875,P2,127.1698418
60110,1,1,wet,TB_0165,core,84.984375,P1,97.32324541
60111,1,1,wet,TB_0544,core,95.8203125,P1,113.9298648
60112,1,1,wet,TB_0161,core,160.21875,P1,119.1967567
60113,1,1,wet,TB_0640,core,106.5,P1,103.3235331
60114,1,1,wet,TB_0429,NA,102.21875,P2,114.2265435
60115,1,1,wet,TB_0487,core,116.3125,P1,120.070585
60116,1,1,wet,TB_0366,core,121.0703125,P1,117.001594
60117,1,1,wet,TB_0275,core,157.8125,P1,130.3367631
60118,1,1,wet,B100,NA,79.8984375,P1,101.5139179
60119,1,1,wet,TB_0336,core,62,P1,95.2313534
60121,1,1,wet,TB_0095,core,102.7421875,P1,108.9147103
60122,1,1,wet,TB_0436,NA,154.1484375,P2,135.634013
60123,1,1,wet,TB_0508,core,104.1484375,P1,103.9391849
60124,1,1,wet,TB_0104,core,95.8203125,P1,98.58367654
60125,1,1,wet,TB_0582,core,96.25,P1,108.7793405
60126,1,1,wet,TB_0154,NA,86.984375,P2,112.6908829
60127,1,1,wet,TB_0096,NA,168.63375,P2,130.542136
60128,1,1,wet,TB_0211,NA,127.90625,P2,118.1681424
60129,1,1,wet,TB_0039,NA,119.859375,P1,108.5374859
60130,1,1,wet,TB_0029,core,88.6328125,P1,99.2138921
60132,1,1,wet,TB_0023,NA,123.265625,P2,136.3410195
60133,1,1,wet,TB_0418,NA,85,P1,109.0007208
60134,1,1,wet,B100,NA,67.328125,P1,101.5139179
60135,1,1,wet,TB_0509,core,100.359375,P1,96.46927684
60136,1,1,wet,TB_0594,core,115.0234375,P1,106.3686923
