"clump","chrom","minBP","maxBP","variable","value","fisherLogP","Phenotype","DAP","Treatment","Experiment","clumpCenter"
28778,5,5897146,5928214,"area.over.water_dry_10_fisherPclump",3.41389768844711e-08,7.46674949845522,"area.over.water",10,"dry","IB005toIB008",5912680
39,1,14188681,14374252,"area.over.water_wet_11_fisherPclump",2.41393698371782e-09,8.6172740714304,"area.over.water",11,"wet","IB005toIB008",14281466
28778,5,5897146,5928214,"area.over.water_wet_11_fisherPclump",4.96392554145726e-08,7.3041747415119,"area.over.water",11,"wet","IB005toIB008",5912680
8608,2,3992421,3992444,"area.over.water_dry_12_fisherPclump",1.83412050475371e-09,8.73657213386212,"area.over.water",12,"dry","IB005toIB008",3992432
39,1,14188681,14374252,"area.over.water_wet_12_fisherPclump",2.52567077314405e-10,9.59762326135211,"area.over.water",12,"wet","IB005toIB008",14281466
94,1,40417387,40502525,"area.over.water_wet_12_fisherPclump",4.4229593817869e-08,7.35428704895208,"area.over.water",12,"wet","IB005toIB008",40459956
8608,2,3992421,3992444,"area.over.water_wet_12_fisherPclump",9.09341567115064e-10,9.0412729563271,"area.over.water",12,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"area.over.water_wet_12_fisherPclump",5.74507220458261e-09,8.24070450868941,"area.over.water",12,"wet","IB005toIB008",13248984
23446,4,4023352,4209928,"area.over.water_wet_12_fisherPclump",8.56814374606468e-10,9.06711325604186,"area.over.water",12,"wet","IB005toIB008",4116640
23701,4,4197042,4209031,"area.over.water_wet_12_fisherPclump",8.17802609838067e-08,7.08735150782367,"area.over.water",12,"wet","IB005toIB008",4203036
28778,5,5897146,5928214,"area.over.water_wet_12_fisherPclump",2.41106270728094e-08,7.61779149427956,"area.over.water",12,"wet","IB005toIB008",5912680
8608,2,3992421,3992444,"area.over.water_dry_13_fisherPclump",3.80040705524204e-10,9.42016988433643,"area.over.water",13,"dry","IB005toIB008",3992432
51620,8,37212210,37521730,"area.over.water_dry_13_fisherPclump",2.14126130757945e-08,7.66933033059671,"area.over.water",13,"dry","IB005toIB008",37366970
39,1,14188681,14374252,"area.over.water_wet_13_fisherPclump",2.34729435991407e-09,8.62943244475578,"area.over.water",13,"wet","IB005toIB008",14281466
8608,2,3992421,3992444,"area.over.water_wet_13_fisherPclump",8.36460628224836e-11,10.0775544962403,"area.over.water",13,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"area.over.water_wet_13_fisherPclump",1.37131391892005e-10,9.86286311585311,"area.over.water",13,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_13_fisherPclump",4.58707514921069e-08,7.33846414484291,"area.over.water",13,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"area.over.water_wet_13_fisherPclump",9.89297368689637e-08,7.00467314604752,"area.over.water",13,"wet","IB005toIB008",3461828
23336,4,3462114,3462471,"area.over.water_wet_13_fisherPclump",1.46918643800321e-08,7.83292308926192,"area.over.water",13,"wet","IB005toIB008",3462292
23426,4,3514956,3514956,"area.over.water_wet_13_fisherPclump",9.56806034748433e-08,7.01917609417331,"area.over.water",13,"wet","IB005toIB008",3514956
