"clump","chrom","minBP","maxBP","variable","value","fisherLogP","Phenotype","DAP","Treatment","clumpCenter","Experiment"
11645,2,1070802,1219708,"area.over.water_dry_11_fisherPclump",8.46917286632978e-06,5.07215900255355,"area.over.water",11,"dry",1145255,"IB003toIB004"
15978,2,1191883,1250532,"area.over.water_dry_11_fisherPclump",4.41094127320044e-06,5.35546872433331,"area.over.water",11,"dry",1221208,"IB003toIB004"
16602,2,32499920,32583999,"area.over.water_dry_11_fisherPclump",8.42270972746149e-07,6.07454816617703,"area.over.water",11,"dry",32541960,"IB003toIB004"
21608,2,2604620,2604620,"area.over.water_dry_11_fisherPclump",9.70759793459809e-06,5.01288821940247,"area.over.water",11,"dry",2604620,"IB003toIB004"
26854,3,47890613,47951087,"area.over.water_dry_11_fisherPclump",6.63671891720798e-06,5.17804657550103,"area.over.water",11,"dry",47920850,"IB003toIB004"
27780,3,48177199,48199126,"area.over.water_dry_11_fisherPclump",1.13392259286051e-06,5.94541659151098,"area.over.water",11,"dry",48188162,"IB003toIB004"
29368,3,48004573,48182054,"area.over.water_dry_11_fisherPclump",2.22678535132047e-06,5.6523216443175,"area.over.water",11,"dry",48093314,"IB003toIB004"
36411,4,37391803,37685167,"area.over.water_dry_11_fisherPclump",9.05374778425991e-06,5.04317160807689,"area.over.water",11,"dry",37538485,"IB003toIB004"
37118,4,30282918,30749885,"area.over.water_dry_11_fisherPclump",9.81016684756195e-06,5.00832360624296,"area.over.water",11,"dry",30516402,"IB003toIB004"
48557,5,8495010,8572586,"area.over.water_dry_11_fisherPclump",6.11386080025344e-06,5.21368445346894,"area.over.water",11,"dry",8533798,"IB003toIB004"
48774,5,5982120,6135398,"area.over.water_dry_11_fisherPclump",6.91382859777649e-06,5.1602813913488,"area.over.water",11,"dry",6058759,"IB003toIB004"
92836,9,33082194,33082194,"area.over.water_dry_11_fisherPclump",7.27518404893599e-06,5.13815601534189,"area.over.water",11,"dry",33082194,"IB003toIB004"
292,1,6125217,6587787,"area.over.water_dry.over.wet_11_fisherPclump",7.12798055311609e-06,5.14703349383172,"area.over.water",11,"dry.over.wet",6356502,"IB003toIB004"
1063,1,15911779,16137128,"area.over.water_dry.over.wet_11_fisherPclump",9.2647156442125e-06,5.03316790565372,"area.over.water",11,"dry.over.wet",16024454,"IB003toIB004"
12191,2,10386800,10796361,"area.over.water_dry.over.wet_11_fisherPclump",2.23078010022107e-06,5.65154323830757,"area.over.water",11,"dry.over.wet",10591580,"IB003toIB004"
12248,2,10599040,10798428,"area.over.water_dry.over.wet_11_fisherPclump",2.59159571986238e-06,5.58643274598311,"area.over.water",11,"dry.over.wet",10698734,"IB003toIB004"
13003,2,10233909,10503415,"area.over.water_dry.over.wet_11_fisherPclump",7.15722675805021e-06,5.14525522308089,"area.over.water",11,"dry.over.wet",10368662,"IB003toIB004"
34750,4,18007229,18506282,"area.over.water_dry.over.wet_11_fisherPclump",5.40165833898107e-07,6.26747288889861,"area.over.water",11,"dry.over.wet",18256756,"IB003toIB004"
35005,4,22408301,22884432,"area.over.water_dry.over.wet_11_fisherPclump",4.09049850773127e-07,6.38822376143911,"area.over.water",11,"dry.over.wet",22646366,"IB003toIB004"
35119,4,15908408,16405526,"area.over.water_dry.over.wet_11_fisherPclump",2.21107585472433e-07,6.65539635795357,"area.over.water",11,"dry.over.wet",16156967,"IB003toIB004"
35423,4,19840427,20334548,"area.over.water_dry.over.wet_11_fisherPclump",3.76800825844046e-06,5.42388815402375,"area.over.water",11,"dry.over.wet",20087488,"IB003toIB004"
